100;61050;61432;60798;60786
200;242152;243162;241618;241586
300;543268;545004;542450;542386
400;964316;966814;963238;963186
500;1505362;1508894;1504058;1503986
600;2166486;2170852;2164890;2164786
700;2947584;2952594;2945678;2945586
800;3848688;3854684;3846498;3846386
900;4869736;4876544;4867330;4867186
1000;6010876;6018466;6008118;6007986
1100;7271976;7281328;7268938;7268786
1200;8653092;8663768;8649770;8649586
1300;10154192;10165466;10150558;10150386
1400;11775204;11787356;11771378;11771186
1500;13516284;13529152;13512210;13511986
1600;15377428;15392062;15372998;15372786
1700;17358540;17373592;17353818;17353586
1800;19459592;19476234;19454650;19454386
1900;21680648;21697762;21675438;21675186
2000;24021724;24040036;24016258;24015986
2100;26482894;26503262;26477090;26476786
2200;29063968;29084586;29057878;29057586
2300;31765070;31785962;31758698;31758386
2400;34586140;34608884;34579530;34579186
2500;37527208;37551118;37520318;37519986
2600;40588316;40612626;40581138;40580786
2700;43769444;43796018;43761970;43761586
2800;47070580;47098038;47062758;47062386
2900;50491532;50519616;50483578;50483186
3000;54032736;54061522;54024410;54023986
3100;57693858;57722600;57685198;57684786
3200;61475066;61506924;61466018;61465586
3300;65376160;65408512;65366850;65366386
3400;69397210;69430634;69387638;69387186
3500;73538374;73573394;73528458;73527986
3600;77799464;77836758;77789290;77788786
3700;82180602;82218046;82170078;82169586
3800;86681634;86719926;86670898;86670386
3900;91302644;91343234;91291730;91291186
4000;96043696;96085334;96032518;96031986
4100;100904850;100948570;100893330;100892786
